structure,value
CON(C(=O)Nc1ccc(cc1)Cl)C,-2.57
CCOC(=O)C(c1ccccc1)O,-1.313
Clc1cc(c(c(c1Cl)Cl)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,-9.16
NCCc1ccc(cc1)O,-1.12
OC(=O)C1=CC(=O)C(O1)(C)c1ccccc1,-2.541
CCN(C(=O)c1nnn(c1C)c1ccccc1)CC,-2.866
CN1C(C)C2CCC(C1C)C2,-1.545
CN(CCCNc1nc(nc(n1)c1cccc(c1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl)C,-6.94
Cc1ccc(cc1)N(c1cccc(c1)O)CC1=NCCN1,-4.787
CC(=O)/N=c\1/sc(nn1C)S(=O)(=O)N,-1.83
CN(c1ccc2c(c1)cccc2)C(=S)Oc1ccc2c(c1)cccc2,-8.313
CC1=NCCS1,-2.149
CCCCC(O)(C)C,-1.08
NN=C(c1ccccc1)c1ccccc1,-3.015
CN(CC/C=C\1/c2ccccc2Sc2c1cc(Cl)cc2)C,-6.75
OC(=O)CCCCCCC1=CCCC1=O,-2.873
C/N=c/1\oc2c(n1C)cccc2,-2.67
Fc1ccc(cc1)I,-3.13
Nc1oc2c(n1)cc(cc2)[N+](=O)[O-],-1.954
C/C(=C\c1ccccc1)/CC(=O)O,-2.746
CC(=O)Nc1nnc(s1)S(=O)(=O)N,-2.44
O=C(OC1N=C(c2ccccc2)c2c(NC1=O)ccc(c2)Cl)CCC(=O)O,-4.228
OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)CC(=O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-3.11
CCN(CC(=O)N1C(C)(C)CC(CC1(C)C)c1ccccc1)CC,-5.361
O=C(c1ccc(cc1)O)c1ccc(cc1)O,-2.82
CC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I,-2.639
N#CC(=NNc1cccc(c1)Cl)C#N,-3.58
CCCOc1ccc(cc1OC)C=CC(=O)NO,-2.62
OCC(=O)[C@@]1(O)[C@H](O)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F,-3.693
CN(c1c(=O)[nH]c(=O)n(c1C)c1ccccc1)C,-2.185
Clc1ccc2c(c1)n(c1ccccc1)c(=O)[nH]2,-3.224
COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)c1ccc(cc1)NCCCC,-5.692
COC(=O)c1c(C)ccc(c1OCCN(C)C)C(C)C,-3.313
CCCCCOc1ccc(cc1OCC)C=CC(=O)NO,-4.184
O=c1cc[nH]c(=S)[nH]1,-2.26
COP(=S)(Oc1ccc(c(c1)C)[N+](=O)[O-])OC,-4.04
OCC(COc1ccc(cc1)C(=O)C)O,-1.196
CCCOc1ccc(cc1C)C=CC(=O)NO,-3.342
O=C1C(CCN1c1ccc(cc1)C)N1CCCCC1,-3.43
Nc1[nH]ncc1c1ccccc1,-1.137
CCCC(=C)C,-3.03
Nc1ccc2c(c1)nc1c(c2)cccc1N,-3.106
COCCOc1cnc(nc1)NS(=O)(=O)c1ccccc1,-1.826
CNC1C2CCC(C1(C)C)C2,-1.752
COc1ccc(cc1OC)CCN(CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C,-5.007
[O-][N+](=O)c1ccc(o1)/C=N/NC(=S)N,-2.554
ClCCN(C1OCCN(C1)S(=O)(=O)c1ccc(cc1)C)CCCl,-3.005
CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O,-4.049
CNc1ccnc(n1)N1CCN(CC1)CCC(c1ccccc1)(c1ccccc1)c1ccccc1,-6.411
CC(NCC(c1ccc(cc1)NS(=O)(=O)C)O)C,-1.694
FC(c1ccc(cc1)S(=O)(=O)N)(F)F,-1.981
OC(CN1CCN(CC1)c1ccccc1)COc1ccc(cc1)C(=O)C,-2.588
CCCCCCC1C(=O)OC(C)C(C(=O)OC(C1OC(=O)CC(C)C)C)NC(=O)c1cccc(c1O)NC=O,-9.118
CCCCC(COC(=O)N)COC(=O)N,-1.664
CCCCCCCCN,-2.75
CC(CC(=NO)C)C,-2.265
CN1C(CCC1(C)C)c1c[nH]c2c1cccc2,-2.138
C1=CCC=CC1,-1.97
Nc1cccc2c1nc1ccccc1c2,-4.512
OC(=O)C(c1ccc(cc1)Cl)Cc1ccco1,-3.681
N#C/N=C(/NCCSCc1nc[nH]c1C)\NC,-1.35
Oc1ccc2c(c1)cccn2,-2.16
CN(CCCN1c2ccc(cc2Sc2c1cc(Cl)c(c2)O)O)C,-5.895
CC(=CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2)C,-4.335
OCCNC(=O)c1cc(cc(c1O)C(C)C)C(C)C,-3.493
COc1ccc2c(c1O)[C@@]13CCN([C@H](C2)[C@H]3C=CC(=O)C1)C,-1.87
CCCCCCCCc1ccccc1O,-4.822
CS(=O)(=O)N1CC=Cc2c1cccc2,-2.817
COc1cc2c(cc1O)C[C@H]1c3c2c(OC)c(O)cc3CCN1C,-3.101
OC(=O)c1ccccc1Nc1cccc(c1C)Cl,-5.524
CCCN(C(C(=O)Nc1c(C)cccc1C)CC)CC,-4.367
Cc1cccc(c1)N(C(=S)Oc1ccc2c(c1)C1CCC2C1)C,-7.177
O=C1C2CC3CC1CC(C2)C3,-2.511
COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cccs1,-3.556
CCN(CCNc1ccc(c2c1c(=O)c1c(s2)cccc1)CO)CC,-4.689
FCC(=O)NC(C(Br)(Br)Br)O,-1.935
FC1=C(C)C(F)(F)C(C(C1(F)F)(F)F)(F)F,-4.21
Clc1cccc(c1c1ccc(cc1)Cl)Cl,-6.14
CCCCCCCCCCN,-2.456
O=C(N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)COC(=O)C)CSc1ccncc1,-2.615
S=C(Nc1ccccc1C)Nc1ccccc1C,-4.75
CCCCCCCC=C,-5.05
NC(=O)CCSSSCCC(=O)N,-1.294
C#C[C@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=C1CCC(=O)C2,-4.523
ClC1=C(Cl)[C@@]2(C([C@@]1(Cl)[C@H]1[C@@H]2[C@H]2C[C@@H]1C=C2)(Cl)Cl)Cl,-7.33
Brc1cc(Br)c(cc1Br)Br,-6.98
CCCCCCOC(=O)N,-1.92
CCN(CCOCCCOC(=O)c1ccc(cc1)N)CC,-2.221
C=C[C@](CCC=C(C)C)(O)C,-1.99
O=C1C[C@H]2C([C@]1(C)CC2)(C)C,-1.99
CCN(/N=C\C(=O)c1ccc(cc1)c1ccccc1)CC,-4.23
CC(OC(=O)c1ccccc1S(=O)(=O)N)C,-2.396
CCCCNC1=CC(=O)c2c(C1=O)cccn2,-1.374
COc1c2CN(C)CCc2cc2c1OCO2,-1.466
O[C@H]1C=C2CCN3[C@H]2[C@@H]([C@@H]1O)c1cc2OCOc2cc1C3,-2.613
CNCC(c1ccccc1)C,-1.095
S=C(Nc1ccccc1)Nc1ccccc1,-3.61
Clc1ccc(cc1)/C=C/[N+](=O)[O-],-3.014
O=C1NC(=O)C(S1)Cc1ccc(cc1)OCC1(C)CCCCC1,-4.964
c1cnc2c(c1)cc[nH]2,-1.618
CCCCN1CCC[C@H](C1)OC(=O)Nc1c(C)cccc1Cl,-4.754
CCC(C1(CC)C(=O)NC(=O)NC1=O)C,-2.192
C1CCCCC1,-3.1
COc1c(C(=O)/C=C/c2ccc(cc2)OC)c(OCCN(C)C)c(c2c1cco2)OC,-4.459
CCC#C,-1.24
COc1ccc(cc1)C(=O)c1ccccn1,-2.498
CCCN1CCCN(C1=S)CCC,-2.071
CCN(C(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)(C)C)O)CC,-3.606
CC(=O)c1ccc2c(c1)cc[nH]2,-1.844
CCCC[C@](CC)(O)C,-1.6
CC1CCCCC1,-3.85
CC(C1(CC(=C)Br)C(=O)NC(=O)NC1=O)C,-2.564
O=C[C@@]12CC[C@@H](C[C@@]2(O)CC[C@@H]2[C@@H]1CC[C@]1([C@]2(O)CC[C@@H]1C1=CC(=O)OC1)C)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,-3.042
OC(=O)COc1ccc(c(c1Cl)Cl)Cc1cccs1,-5.125
[O-][N+](=O)c1ccc(o1)C(=O)OCCC,-2.539
Cc1ccc(cc1)SCCNc1ccccc1C(=O)N,-3.978
[O-][N+](=O)c1ccccc1N,-1.96
COP(=S)(Oc1ccc(cc1Cl)[N+](=O)[O-])OC,-4.31
O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@]12CCC(=O)O1)C)C,-4.242
CNC(=O)Oc1ccccc1C(C)C,-2.86
CCC(=O)N(c1ccccc1)C(CN1CCCCC1)C,-2.946
O=C(Nc1ccc(cc1C)C)NC=CP(=O)(N1CC1)N1CC1,-2.522
Clc1cc(Cl)c(cc1c1c(Cl)ccc(c1Cl)Cl)Cl,-8.65
O/N=C\1/CCCCC1C,-1.266
Clc1ccc(c(c1)c1ccccc1Cl)Cl,-6.02
N#CC(Cl)(Cl)Cl,-2.17
Clc1cccc(c1)Br,-3.21
Clc1ccc(cc1)C(Cn1cncc1)O,-2.457
O=C1C[C@@H]2OCC=C3[C@H]4[C@H]2[C@H]2N1c1ccccc1[C@@]12CCN([C@H]1C4)C3,-3.32
COC1(C)CC(c2ccccc2)c2c(O1)c1ccccc1oc2=O,-1.508
ClCCn1c(C)cnc1[N+](=O)[O-],-2.44
CCOC(=O)C1N=C(c2c(NC1=O)ccc(c2)Cl)c1ccccc1F,-4.363
CCC(=O)c1ccc(cc1)N,-2.63
O[C@@H]1C[C@@H]2[C@@H](C1)/C=C/CCC[C@@H](OC(=O)/C=C/[C@H]2O)C,-5.67
O=C1Cc2ccccc2S(=O)(=O)N1Cc1ccccc1,-3.153
NC1CCc2c(C1)cccc2,-1.044
O=C(c1ccccc1N)Nc1ccccc1,-3.057
CC(=O)Oc1ccccc1C(=O)O,-1.72
CCC1CC[Si](CC21C(=O)NC(=O)NC2=O)(C)C,-3.546
OCCNC(=O)c1c(I)c(N(C(=O)C)CC(CO)O)c(c(c1I)C(=O)NCCO)I,-4.466
CCC(=O)N(c1ccccn1)C(CN1CCCCC1)C,-3.762
CCCOC(=O)c1ccc(cc1)O,-2.557
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@H]([C@@H](O2)C)O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C[C@H](C(=O)[C@@H]([C@H]([C@]1(C)O)O)C)C)(C)OC,-6.34
CCCc1nc2c([nH]1)cccc2,-2.731
COc1ccccc1N1CCN(CC1)CCCC(=O)c1ccc(cc1)F,-3.44
OC(CN1CCC(CC1)(O)c1ccccc1)COc1cccc(c1)C(=O)C,-2.853
CCC(=O)c1ccc(cc1)NC,-1.925
CN(CCCN1c2cc(Cl)ccc2Sc2c1ccc(c2)O)C,-5.48
COc1cccc(c1)NC(=O)CN1CCCCC1,-3.326
CCCC(C)(C)C,-4.36
Nc1ccc(cc1Cl)c1ccc(c(c1)Cl)N,-4.92
CCCCC(COC(=O)N)(COC(=O)NCC#C)CC,-3.53
OCC(C(=O)N1CC2CCC(C1)N2C)(c1ccccc1)C1CCCCC1,-4.122
CNc1nc(nc(n1)N(C)C)N(C)C,-2.196
Cc1ccc2c3c1CCc3c1c(c2)c2ccccc2cc1,-7.92
C#CC1(CCCCC1)OC(=O)N,-1.825
C1CCc2c(N(C1)CCN1CCCC1)cccc2,-3.523
CCC(c1ccccc1)CC(=O)O,-2.834
OCCN(c1c(I)c(C(=O)NC(CO)CO)c(c(c1I)C(=O)NC(CO)CO)I)C(=O)C,-4.135
CCN1C(=O)Cc2c(S1(=O)=O)cccc2,-1.662
O=C(C(c1ccccc1)C(=O)O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C,-2.924
O=C1CC[C@]2(C(=C1)[C@@H](C)C[C@@H]1[C@@H]2[C@@H](O)C[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,-3.618
Ic1[nH]c(c(c1I)I)I,-3.46
CN1CCCN=C1/C=C/c1cccs1,-4.381
CN(CC/C=C/1\c2ccccc2Sc2c1cc(Cl)cc2)C,-6.03
c1ccc2c(c1)[nH]nc2,-2.16
Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,-4.84
COc1cc(nc(n1)C)NS(=O)(=O)c1ccc(cc1)N,-2.54
Cc1n(C)c(=O)n(c(=O)c1Br)C,-1.322
O=Cc1ccccc1,-1.19
CCC(OC(=O)c1ccccc1C(=O)O)(C#C)C,-2.667
CCc1cc2=C(NCC(=O)N=c2s1)c1ccccc1,-3.809
CCC=C,-1.94
OC(=O)CC1=C(C)/C(=C/c2ccc(cc2)S(=O)C)/c2c1cc(F)cc2,-4.5
OC(COc1ccccc1C)COC(=O)N,-1.461
O=C(C(Oc1ccc(cc1)Cl)(C)C)OCCCOC(=O)C(Oc1ccc(cc1)Cl)(C)C,-7.183
COc1ccc(cc1)N(C(=O)c1ccc(cc1)Cl)CCCC(=O)O,-4.042
CC(=O)Nc1ccccc1C(=O)O,-2.114
FC1C(F)(F)C(C(C1(F)F)(F)F)F,-3.634
OC[C@@H]1CC[C@@H](O1)n1cnc2c1[nH]cnc2=O,-1.175
Cc1c(cccc1[N+](=O)[O-])[N+](=O)[O-],-3.0
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Br,-3.669
NC(=O)OCC(C(C)(C)C)(COC(=O)N)C,-2.059
ClCCN(C(=O)NCCCCNC(=O)N(N=O)CCCl)N=O,-2.573
OC(=O)Cc1ccc2c(c1)N(C)C(S2)c1ccccc1,-4.22
C[C@@H]1CC[C@H](CC1)C,-4.47
Fc1cc(F)c(c(c1)F)F,-2.31
CCC(=O)N1C2CCC1CN(C2)CC1CCCC1,-3.234
OC(=O)Cc1ccc2c(c1)nc(s2)c1ccccc1,-3.646
[O-][N+](=O)c1ccccc1C,-2.33
OCC(COc1ccccc1F)O,-1.124
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2Cl,-1.895
CCOc1cc(ccc1O)C(=O)N(CC)CC,-2.251
COc1cc(Cc2cnc(nc2N)N)cc(c1C(C)C)OC,-4.283
CCC(c1ccc(cc1)[N+](=O)[O-])C(=O)O,-2.562
Clc1ccc2c(c1)CNOC2,-2.453
COCCn1c(=O)c2n(C)cnc2n(c1=O)C,-2.147
O=C1C(c2ccc(cc2)F)C(=O)c2c1cccc2,-3.83
CCNC1C2CCC(C1c1ccccc1)C2,-2.496
CCCCCCCCC(=O)OCC,-3.8
CCCn1c(=O)cc(n(c1=O)CC)N,-2.134
O1CCOCCOc2c(OCCOCC1)cccc2,-1.934
O=C(Nc1c(I)cc(c(c1I)C(=O)O)I)COCCOCCOCC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I,-10.912
CCCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CC,-5.53
OCC(COc1ccc(cc1)C(=O)CC)O,-1.717
O=C(c1cccnc1)OCc1ccccc1,-2.806
NC(=O)OCC(C(C)(C)C)COC(=O)N,-1.57
Clc1ccc(c(c1)C(=O)N)N,-1.372
CN(CCC(c1ccccn1)c1ccccc1)C,-1.028
CC(Cc1ccc(cc1)Cl)(N)C,-1.754
OC(=O)CN(CC(=O)Nc1c(C)cc(c(c1C)Br)C)CC(=O)O,-5.497
CC(c1ccc(c(c1)O)C)C,-2.08
Cc1ccc2c(c1)c(nc(=O)[nH]2)c1ccccc1,-2.905
CCN1CCC(CC1)OC(=O)Nc1c(C)cccc1Cl,-4.167
OC(=O)CCC(=O)OCn1c(=O)oc2c1cc(Cl)cc2,-2.845
CN(CCOC(c1ccc(cc1)Cl)(c1ccccc1)C)C,-3.998
Clc1ccc2c(c1)cccc2,-4.14
Clc1cccnc1OCCCNCCSS(=O)(=O)O,-1.12
Clc1ccc(cc1)[C@@H](C(Cl)(Cl)Cl)c1ccccc1Cl,-6.62
FCCCCCCCCCCCl,-5.272
CC(=O)Oc1c(I)cc(cc1C(=O)Nc1ccc(cc1)Cl)I,-7.825
O=N/C(=C(\c1ccccc1)/NO)/c1ccccc1,-5.413
CC(c1cccc(c1O)C)C,-1.274
CCCc1cccc(c1OCC(CO)O)Br,-4.109
Nc1ccc2c(c1)nc1c(c2)cc(cc1)S(=O)(=O)O,-3.665
Clc1cc(Cl)c(cc1c1cc(Cl)c(cc1Cl)Cl)Cl,-8.56
Oc1ccc(cc1)C(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],-3.656
CCCCNc1ccc(c(c1)O)C(=O)OCCN(C)C,-3.183
CN1C(CSCC(F)(F)F)Nc2c(S1(=O)=O)cc(c(c2)Cl)S(=O)(=O)N,-5.08
C#C[C@]1(O)CC[C@@H]2[C@]1(CC)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@H]12,-5.183
OC[C@H]1O[C@@H](OCc2cc(=O)c3c(o2)cc2c(c3OC)cco2)[C@@H]([C@H]([C@@H]1O)O)O,-1.605
OC(=O)c1ccc(c(c1)S(=O)(=O)N)Cl,-1.685
Clc1ccc(c(c1)c1cc(Cl)c(cc1Cl)Cl)Cl,-7.89
CN1CC[C@@]23[C@@H]4[C@H]1Cc1c3c(O[C@H]2[C@H](C=C4)O)c(cc1)OCc1ccccc1,-2.973
CCCNC(=O)OCC(CCC)(CO)C,-2.757
O=C1C2C3CCC(C2C(=O)N1c1ccccc1Cl)O3,-1.208
CCOP(=O)(Oc1ccc(cc1)[N+](=O)[O-])OCC,-1.879
COc1nc(C)nc(n1)N,-1.303
CCC(CC(C)C)(COC(=O)N)COC(=O)N,-2.613
CO[C@@]12[C@@H]3[C@@H](N3C)CN2C2=C([C@H]1COC(=O)N)C(=O)C(=C(C2=O)C)N,-1.218
O=C1CSC(=S)N1c1ccccc1,-1.256
CC(=O)Nc1ccc2c(c1)cc1c(n2)cccc1,-4.106
CCOC(=O)C1(CCN(CC1)CCC(c1ccccc1)(c1ccccc1)C#N)c1ccccc1,-2.753
OCCOc1ccccc1C(=O)N(CC)CC,-1.63
O/N=C(/c1cccs1)\C,-1.777
COC(C(=O)N1CCN(CC1)c1nc(N)c2c(n1)cc(c(c2)OC)OC)C,-2.911
CC(OOC1(CCc2ccccc2)C(=O)NC(=O)NC1=O)(C)C,-3.742
CCCCN(CCCl)CCCl,-2.204
OC(COc1ccc(cc1)CC(=O)N)CNC(C)C,-1.21
COc1ccc2c(c1)c(CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,-9.268
BrC[C@H]([C@@H]([C@@H]([C@H](CBr)O)O)O)O,-1.198
ClC[C@H](Cl)C,-1.6
CCN(CCCC(=O)c1ccccc1)CC,-2.221
Clc1ccccc1c1ccccc1Cl,-5.27
O=C1C[C@@H]2OCC=C3[C@H]4[C@@H]2[C@@H]2N1c1ccccc1[C@]12CC[N+]([C@H]1C4)(C3)[O-],-1.275
CCCCOc1ccccc1NC(=O)C,-2.498
CC(Oc1ccc(cc1)C(=O)OCCCN1CCCCC1C)C,-4.608
ClCCNP1(=O)OCCCN1CCCl,-1.839
COP(=O)(Oc1ccc(cc1Cl)[N+](=O)[O-])OC,-3.207
FC(S(=O)(=O)Nc1ccccc1)(F)F,-3.448
c1ccc(cc1)C1=NCCN1,-2.361
Oc1ccc(c(c1)O)c1oc2cc(O)cc(c2c(=O)c1O)O,-3.08
Clc1ccc(cc1)Oc1ccc(cc1)NC(=O)N(C)C,-4.89
Cc1ccc(cc1)C(=O)Nc1ncccc1C,-3.074
O=C(Nc1ccccc1)Nc1ccccc1,-3.15
CCCCN(C(c1ccc(cc1)OC)C(=O)N)CCCC,-4.93
COc1cc(Cc2cnc(nc2N)N)cc(c1C(O)(C)C)OC,-2.794
OC(COc1cccc2c1c(=O)cc(o2)C(=O)O)COc1cccc2c1c(=O)cc(o2)C(=O)O,-3.348
Cc1cccc2c1cccc2,-3.7
CC(=O)Nc1ccc(cc1)Cl,-2.84
[O-][N+](=O)CC(c1ccc(cc1)NC(=O)C)Sc1ccc(cc1)C,-4.991
I/C=C/I,-3.22
CCCCNC(=O)/C(=C(\c1ccccc1)/C)/C,-4.18
c1ccc2c(c1)N(CC1CN3CCC1CC3)c1c(S2)cccc1,-5.888
ClCCN(C(=O)NC1CS(=O)(=O)CS(=O)(=O)C1)N=O,-2.141
COc1cccc(c1)N1CCN(CC1)CC1CN=C(O1)N,-2.061
CCCCC1(C)OCC(O1)CO,-2.134
CCCCCCc1ccc(cc1O)O,-2.59
Brc1ccc(cc1)I,-4.56
OC(=O)[C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)NC(=O)C1(N)CCCCC1,-2.808
CN(CCOc1c(ccc(c1C(=O)OC(C)C)C)C(C)C)C,-4.292
CC(c1[nH]c2c(n1)n(C)c(=O)n(c2=O)C)C,-1.732
CCC#CCC,-1.99
CC(C(C(C)C)(COC(=O)N)COC(=O)N)C,-2.549
CC/C(=C/C)/C(=O)NC(=O)N,-2.157
c1ccccc1,-1.64
CO/N=C(/c1ccco1)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)OC(OC(=O)C)C)COC(=O)N,-3.68
CCc1ccccc1O,-1.36
CCCCC(C1NC(=O)N(C1=O)SC(Cl)(Cl)Cl)CC,-4.89
O=C1NCCN1c1ncc(s1)[N+](=O)[O-],-3.22
O=S1(=O)NC(Cc2ccccc2)Nc2c1cc(c(c2)C(F)(F)F)S(=O)(=O)N,-3.591
COc1ccc(cc1)CC(=O)O,-1.231
SC[C@H](C(=O)N1CCC[C@H]1C(=O)O)C,-1.076
O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)CCC1C2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,-5.662
CC(CC(C)(C)C)CCNCCSS(=O)(=O)O,-2.181
CCOc1ccc(cc1)COCC(CO)O,-1.818
O=C(C(F)(F)F)N1CC=Cc2c1cccc2,-3.155
CC(=O)NC(c1ccccc1)NC(=O)C,-1.314
CC(=O)CNc1ccccc1C(=O)N,-1.124
O/N=C/C(=O)c1ccccc1,-2.886
CC1N=C(OC1(C)C)Nc1ncc(s1)[N+](=O)[O-],-2.057
O=c1nc(oc2c1cccc2)c1ccccc1,-4.61
CCCCCCCCCCCCC,-7.594
CC(COc1ccc(cc1)C(c1ccc(cc1)OCC(O)C)(C)C)O,-5.179
Oc1cccc(c1)c1cccc(c1)O,-2.368
Cc1nc(Nc2ccccc2)nc(n1)N,-2.753
CC(Nc1nc(NC(C)C)nc(n1)Cl)C,-4.43
Clc1ccc(cc1)C(C(=O)C1C(=O)c2c(C1=O)cccc2)c1ccccc1,-3.574
CC(CCCCCCNCCSS(=O)(=O)O)C,-2.273
CCC(c1ccccc1)(C)C,-4.15
CCCOC(=O)c1cc(O)c(c(c1)O)O,-1.78
OC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C,-5.117
Clc1cccc(c1)[N+](=O)[O-],-2.77
CCCCCC(=O)CCCCC,-3.532
CC(=O)c1ccc(cc1)c1ccccc1,-3.31
Br/N=C/1\C=CC(=O)C=C1,-1.515
[O-][N+](=O)c1ccc(c2c1[Hg]O2)C,-3.124
CCCCCCCCCCC(=O)O,-3.55
OC(=O)[C@H](Oc1ccc(cc1Cl)Cl)C,-2.45
O=C(N1CC=Cc2c1cccc2)c1ccccc1,-3.682
CCc1cn(c(n1)[N+](=O)[O-])C,-1.971
CC(C1(OC(=O)C)C(=O)NC(=O)NC1=O)c1ccccc1,-3.278
COc1ccc(cc1)C(=O)Cc1ccccc1C(=O)O,-3.735
CCCC(COC(=O)NCC(C)C)(CO)C,-3.215
NC(=O)C(c1ccccc1)(CCN1CCOCC1)CCN1CCOCC1,-3.178
C1CC[C@H]2N(C1)C[C@@H]1C[C@H]2CN2[C@@H]1CCCC2,-1.89
ClCCNC(=O)N(CCCl)N=O,-1.728
OC(=O)c1ccc(cc1)C(=O)O,-4.044
CCCCCC(NCCSS(=O)(=O)O)C,-1.231
FC(C(C(Cl)(Cl)Cl)(F)F)F,-4.492
COc1cc2oc(nc2cc1Cl)N,-2.481
NC(=O)C1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)S(=O)(=O)C,-4.371
CCNC(=O)Cc1ccccc1,-1.246
Cc1cc(C)c2c(n1)cccc2,-1.94
O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]31O[C@@H]3[C@@H]([C@@H]2c1ccc(=O)oc1)O)C)C,-4.469
NC(=O)C1c2ccccc2CCc2c1cccn2,-2.434
OS(=O)(=O)SCCNCCCNc1ccccc1,-2.547
Cc1ccc2c(c1)cc1c(c2)cccc1,-6.96
Cc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])O,-2.588
CCCCOC(=O)c1ccc(cc1)O,-2.72
C=CCOc1ccc(cc1)NC(=O)C,-2.327
COc1cc(C#N)cc(c1OC)OC,-1.773
[O-][N+](=O)NCCN[N+](=O)[O-],-1.815
CC[C@H](c1ccccc1)C,-3.89
OC(=O)/C=C(\C=C\[C@@]1(O)C(=CC(=O)CC1(C)C)C)/C,-2.588
CC(=O)N(c1ccc(cc1C)/N=N/c1ccccc1C)C(=O)C,-3.647
CCn1c2ncccc2c(=O)n(c2c1nc(Cl)cc2)C,-4.11
CCc1sc2=NC(=O)CNC(=c2c1)c1ccccc1Cl,-3.59
BrCCN(c1ccc(cc1)OC(=O)c1ccccc1C)CCBr,-7.06
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1cccc(c1)C(F)(F)F,-5.035
C[C@@H](C(Cl)(C)C)Cl,-2.69
CCCCCOC(=O)C,-1.89
C=CCN1CC[C@@]23[C@@]4([C@H]1Cc1c3c(O[C@H]2C(=O)CC4)c(cc1)O)O,-2.364
CCOC(=O)C(OC(=O)C)(CC(=O)OCC)CC(=O)OCC,-2.665
COc1cc(C)ccc1C(C)C,-3.881
COc1ccc2c3c1O[C@@H]1[C@@]43CCN([C@H](C2)[C@@H]4CC[C@H]1O)C,-2.453
Nc1ccc(cc1)S(=O)(=O)N(c1onc(c1C)C)C(=O)C,-3.59
Oc1ccc2c(c1)ccc(c2)Br,-3.303
Clc1ccc(cc1)C1(O)c2ccccc2C2=NCCN12,-5.267
OC(=O)C(c1ccc2c(c1)nc(o2)c1ccc(cc1)I)C,-5.515
CCCC(COC(=O)N)(CO)CC,-1.735
OCNC(=O)C1=C(O)[C@@]2([C@H]([C@@H](C1=O)N(C)C)C[C@H]1C(=C(O)c3c([C@@]1(C)O)c(Cl)ccc3O)C2=O)O,-2.393
CCCC(C(OC(=O)N)C)COC(=O)N,-1.601
ClC(C(=O)NC(=O)N)C(C)C,-1.358
CN1OCc2c(C1)ccc(c2)[N+](=O)[O-],-2.497
Clc1ccc(cc1)C(=O)OCCCN1CCCCC1C,-4.141
OC(c1cc(Cl)c(c(c1)Cl)N)CNC(C)(C)C,-1.922
COc1ccc(cc1)/C=C/C(=O)O,-2.398
O=C(c1ccncc1)N/N=C(/c1ccco1)\C,-3.694
O=C1OC(=O)C2(C(C1CC2)(C)C)C,-3.099
OC(=O)C(c1ccc(c(c1)F)c1ccccc1)C,-4.15
